路線コード,路線名,事業者
L0001,10号線新宿線,東京都営
L0002,11号線半蔵門線,東京メトロ
L0003,12号線大江戸線,東京都営
L0004,13号線副都心線,東京メトロ
L0005,1号線,千葉都市モノレール
L0006,1号線,横浜市営
L0007,1号線(御堂筋線),Osaka Metro
L0008,1号線(空港線),福岡市営
L0009,1号線東山線,名古屋市営
L0010,1号線浅草線,東京都営
L0011,1条線,一般社団法人札幌市交通事業振興公社
L0012,2号線,千葉都市モノレール
L0013,2号線(箱崎線),福岡市営
L0014,2号線(谷町線),Osaka Metro
L0015,2号線名城線,名古屋市営
L0016,2号線名港線,名古屋市営
L0017,2号線日比谷線,東京メトロ
L0018,3号線,横浜市営
L0019,3号線(七隈線),福岡市営
L0020,3号線(四つ橋線),Osaka Metro
L0021,3号線銀座線,東京メトロ
L0022,3号線鶴舞線,名古屋市営
L0023,4号線,横浜市営
L0024,4号線(中央線),Osaka Metro
L0025,4号線丸ノ内線,東京メトロ
L0026,4号線丸ノ内線分岐線,東京メトロ
L0027,4号線名城線,名古屋市営
L0028,5号線(千日前線),Osaka Metro
L0029,5号線東西線,東京メトロ
L0030,6号線(堺筋線),Osaka Metro
L0031,6号線三田線,東京都営
L0032,6号線桜通線,名古屋市営
L0033,7号線(長堀鶴見緑地線),Osaka Metro
L0034,7号線南北線,東京メトロ
L0035,8号線(今里筋線),Osaka Metro
L0036,8号線有楽町線,東京メトロ
L0037,9号線千代田線,東京メトロ
L0038,IRいしかわ鉄道線,IRいしかわ鉄道
L0039,JR東西線,JR西日本
L0040,あいの風とやま鉄道線,あいの風とやま鉄道
L0041,いすみ線,いすみ鉄道
L0042,いわて銀河鉄道線,アイジーアールいわて銀河鉄道
L0043,えちぜん鉄道,三国芦原線
L0044,おおさか東線,JR西日本
L0045,けいはんな線,近畿日本鉄道
L0046,こどもの国線,東急電鉄
L0047,しなの鉄道線,しなの鉄道
L0048,ほくほく線,北越急行
L0049,みなとみらい21線,横浜高速鉄道
L0050,わたらせ渓谷線,わたらせ渓谷鐵道
L0051,ガイドウェイバス志段味線,名古屋ガイドウェイバス
L0052,ケーブルカー,御岳登山鉄道
L0053,ディズニーリゾートライン,舞浜リゾートライン
L0054,ハピラインふくい線,ハピラインふくい
L0055,フラワー長井線,山形鉄道
L0056,ポートアイランド線,神戸新交通
L0057,ユーカリが丘線,山万
L0058,リアス線,三陸鉄道
L0059,七尾線,JR西日本
L0060,七尾線,のと鉄道
L0061,三国芦原線,えちぜん鉄道
L0062,三岐線,三岐鉄道
L0063,三河線,名古屋鉄道
L0064,三田線,神戸電鉄
L0065,三角線,JR九州
L0066,上信線,上信電鉄
L0067,上毛線,上毛電気鉄道
L0068,上滝線,富山地方鉄道
L0069,上熊本線,熊本市
L0070,上町線,阪堺電気軌道
L0071,上越新幹線,JR東日本
L0072,上越線,JR東日本
L0073,上飯田線,名古屋市営
L0074,上高地線,アルピコ交通
L0075,不二越線,富山地方鉄道
L0076,世田谷線,東急電鉄
L0077,両毛線,JR東日本
L0078,中之島線,京阪電気鉄道
L0079,中央線,JR東日本
L0080,中央線,JR東海
L0081,中村線,土佐くろしお鉄道
L0082,久大線,JR九州
L0083,久留里線,JR東日本
L0084,久里浜線,京浜急行電鉄
L0085,九州新幹線,JR九州
L0086,亀戸線,東武鉄道
L0087,予土線,JR四国
L0088,予讃線,JR四国
L0089,五日市線,JR東日本
L0090,五能線,JR東日本
L0091,井の頭線,京王電鉄
L0092,井原線,井原鉄道
L0093,井川線,大井川鐵道
L0094,交野線,京阪電気鉄道
L0095,京津線,京阪電気鉄道
L0096,京王線,京王電鉄
L0097,京葉線,JR東日本
L0098,京都線,近畿日本鉄道
L0099,京都線,阪急電鉄
L0100,京阪本線,京阪電気鉄道
L0101,今津線,阪急電鉄
L0102,仙台空港線,仙台空港鉄道
L0103,仙山線,JR東日本
L0104,仙石線,JR東日本
L0105,伊丹線,阪急電鉄
L0106,伊勢崎線,東武鉄道
L0107,伊勢線,伊勢鉄道
L0108,伊奈線,埼玉新都市交通
L0109,伊東線,JR東日本
L0110,伊田線,平成筑豊鉄道
L0111,伊豆急行線,伊豆急行
L0112,伊賀線,伊賀鉄道
L0113,伊野線,とさでん交通
L0114,会津線,会津鉄道
L0115,会津鬼怒川線,野岩鉄道
L0116,伯備線,JR西日本
L0117,佐世保線,JR九州
L0118,佐野線,東武鉄道
L0119,信楽線,信楽高原鐵道
L0120,信貴線,近畿日本鉄道
L0121,信越線,JR東日本
L0122,健軍線,熊本市
L0123,八戸線,JR東日本
L0124,八日市線,近江鉄道
L0125,八栗ケーブル,四国ケーブル
L0126,八王子線,四日市あすなろう鉄道
L0127,八高線,JR東日本
L0128,公園都市線,神戸電鉄
L0129,六甲アイランド線,神戸新交通
L0130,六甲ケーブル線,神戸六甲鉄道
L0131,内子線,JR四国
L0132,内房線,JR東日本
L0133,内部線,四日市あすなろう鉄道
L0134,函館線,JR北海道
L0135,別府ラクテンチケーブル線,ラクテンチ
L0136,別所線,上田電鉄
L0137,加古川線,JR西日本
L0138,加太線,南海電気鉄道
L0139,動物園線,京王電鉄
L0140,勝山永平寺線,えちぜん鉄道
L0141,北しなの線,しなの鉄道
L0142,北リアス線,三陸鉄道
L0143,北上線,JR東日本
L0144,北勢線,三岐鉄道
L0145,北条線,北条鉄道
L0146,北松江線,一畑電車
L0147,北海道新幹線,JR北海道
L0148,北神線,神戸市営
L0149,北総線,北総鉄道
L0150,北野線,京福電気鉄道
L0151,北陸新幹線,JR東日本
L0152,北陸新幹線,JR西日本
L0153,北陸線,JR西日本
L0154,十国鋼索線,十国峠
L0155,千原線,京成電鉄
L0156,千歳線,JR北海道
L0157,千葉線,京成電鉄
L0158,千里線,阪急電鉄
L0159,南リアス線,三陸鉄道
L0160,南北線,仙台市営
L0161,南北線,北大阪急行電鉄
L0162,南北線,札幌市営
L0163,南大阪線,近畿日本鉄道
L0164,南武線,JR東日本
L0165,南海本線,南海電気鉄道
L0166,南港ポートタウン線,Osaka Metro
L0167,博多南線,JR西日本
L0168,参宮線,JR東海
L0169,叡山本線,叡山電鉄
L0170,只見線,JR東日本
L0171,可部線,JR西日本
L0172,各務原線,名古屋鉄道
L0173,吉備線,JR西日本
L0174,吉都線,JR九州
L0175,吉野線,近畿日本鉄道
L0176,名古屋本線,名古屋鉄道
L0177,名古屋線,近畿日本鉄道
L0178,名松線,JR東海
L0179,吾妻線,JR東日本
L0180,呉線,JR西日本
L0181,呉羽線,富山地方鉄道
L0182,和歌山港線,南海電気鉄道
L0183,和歌山線,JR西日本
L0184,唐津線,JR九州
L0185,唐湊線,鹿児島市
L0186,因美線,JR西日本
L0187,国分寺線,西武鉄道
L0188,国際文化公園都市モノレール線(彩都線),大阪モノレール
L0189,土讃線,JR四国
L0190,城北線,JR東海交通事業
L0191,城北線,伊予鉄道
L0192,城南線,伊予鉄道
L0193,城端線,JR西日本
L0194,埼玉高速鉄道線,埼玉高速鉄道
L0195,境線,JR西日本
L0196,外房線,JR東日本
L0197,多奈川線,南海電気鉄道
L0198,多摩川線,西武鉄道
L0199,多摩湖線,西武鉄道
L0200,多摩線,小田急電鉄
L0201,多摩都市モノレール線,多摩都市モノレール
L0202,多賀線,近江鉄道
L0203,大井川本線,大井川鐵道
L0204,大井町線,東急電鉄
L0205,大山鋼索線,大山観光電鉄
L0206,大師線,京浜急行電鉄
L0207,大師線,東武鉄道
L0208,大手町線,伊予鉄道
L0209,大月線,富士山麓電気鉄道
L0210,大村線,JR九州
L0211,大森線,函館市
L0212,大洗鹿島線,鹿島臨海鉄道
L0213,大浦支線,長崎電気軌道
L0214,大湊線,JR東日本
L0215,大社線,一畑電車
L0216,大糸線,JR東日本
L0217,大糸線,JR西日本
L0218,大船渡線,JR東日本
